Country_Region,country_clean,ignore
Hong Kong,,
Japan,,
Macau,,
Mainland China,China,
South Korea,,
Taiwan,,
Thailand,,
US,,
Australia,,
Brazil,,
Colombia,,
Malaysia,,
Mexico,,
Philippines,,
Singapore,,
Vietnam,,
France,,
Nepal,,
Canada,,
Cambodia,,
Ivory Coast,,
Sri Lanka,,
Germany,,
Finland,,
United Arab Emirates,UAE,
India,,
Italy,,
Russia,,
Sweden,,
UK,,
Spain,,
Belgium,,
Others,,1
Egypt,,
Iran,,
Israel,,
Lebanon,,
Iraq,,
Afghanistan,,
Bahrain,,
Kuwait,,
Oman,,
Algeria,,
Austria,,
Croatia,,
Switzerland,,
Georgia,,
Greece,,
North Macedonia,,
Norway,,
Pakistan,,
Romania,,
Denmark,,
Estonia,,
Netherlands,,
San Marino,,
Azerbaijan,,
Belarus,,
Iceland,,
Lithuania,,
New Zealand,,
Nigeria,,
North Ireland,,
Ireland,,
Luxembourg,,
Monaco,,
Qatar,,
Armenia,,
Czech Republic,,
Dominican Republic,,
Ecuador,,
Andorra,,
Indonesia,,
Latvia,,
Morocco,,
Portugal,,
Saudi Arabia,,
Senegal,,
Argentina,,
Chile,,
Jordan,,
Ukraine,,
Faroe Islands,,
Gibraltar,,
Hungary,,
Liechtenstein,,
Poland,,
Saint Barthelemy,St. Barthelemy,
Tunisia,,
Bosnia and Herzegovina,Bosnia,
Palestine,,
Slovenia,,
South Africa,,
Bhutan,,
Cameroon,,
Costa Rica,,
Peru,,
Serbia,,
Slovakia,,
Togo,,
Vatican City,Vatican,
French Guiana,,
Malta,,
Martinique,,
Bangladesh,,
Bulgaria,,
Maldives,,
Moldova,,
Paraguay,,
Republic of Ireland,Ireland,
Albania,,
Brunei,,
Cyprus,,
St. Martin,,
Burkina Faso,,
Channel Islands,,
Holy See,Vatican,
Hong Kong SAR,Hong Kong,
Iran (Islamic Republic of),Iran,
Macao SAR,Macau,
Mongolia,,
Panama,,
Republic of Korea,South Korea,
Republic of Moldova,Moldova,
Russian Federation,Russia,
Saint Martin,St. Martin,
Taipei and environs,Taiwan,
Viet Nam,Vietnam,
occupied Palestinian territory,Palestine,
Bolivia,,
China,,
Congo (Kinshasa),DR Congo,
Cote d'Ivoire,Ivory Coast,
Cruise Ship,,1
Czechia,Czech Republic,
Honduras,,
Jamaica,,
"Korea, South",South Korea,
Reunion,,
Taiwan*,Taiwan,
Turkey,,
United Kingdom,UK,
Cuba,,
Guyana,,
Antigua and Barbuda,,
Aruba,,
Cayman Islands,,
Ethiopia,,
Guadeloupe,,
Guinea,,
Kazakhstan,,
Kenya,,
Sudan,,
Curacao,,
Eswatini,Swaziland,
Gabon,,
Ghana,,
Guatemala,,
Guernsey,,
Jersey,,
Mauritania,,
Namibia,,
Rwanda,,
Saint Lucia,St. Lucia,
Saint Vincent and the Grenadines,St. Vincent,
Seychelles,,
Suriname,,
Trinidad and Tobago,,
Uruguay,,
Venezuela,,
Central African Republic,,
Congo (Brazzaville),Congo Rep.,
Equatorial Guinea,,
Kosovo,,
Uzbekistan,,
Benin,,
Greenland,,
Guam,,
Liberia,,
Mayotte,,
Puerto Rico,,
Republic of the Congo,Congo Rep.,
Somalia,,
Tanzania,,
The Bahamas,Bahamas,
Barbados,,
Montenegro,,
The Gambia,Gambia,
Djibouti,,
"Gambia, The",Gambia,
Kyrgyzstan,,
Mauritius,,
Zambia,,
"Bahamas, The",Bahamas,
Chad,,
El Salvador,,
Fiji,,
Nicaragua,,
Angola,,
Cabo Verde,Cape Verde,
Haiti,,
Madagascar,,
Niger,,
Papua New Guinea,,
Zimbabwe,,
Cape Verde,,
East Timor,,
Eritrea,,
Uganda,,
Dominica,,
Grenada,,
Mozambique,,
Syria,,
Timor-Leste,East Timor,
Bahamas,,
Belize,,
Gambia,,
Laos,,
Libya,,
Diamond Princess,,1
Guinea-Bissau,,
Mali,,
Saint Kitts and Nevis,St Kitts & Nevis,
West Bank and Gaza,Palestine,
Burma,,
MS Zaandam,,1
